#n_clusters: 0, n_segment_len: 0
7.845206511621054535e-01,5.730455236055089635e-02
1.080667525188147710e-01,1.666692441844942404e-02
4.522618287786976943e-01,7.800140727100217386e-02
1.589441405842531296e-01,5.974016443217366329e-02
5.037823571601788286e-01,1.797518805904838868e-01
4.889087204023376820e-01,3.793181193082736241e-02
1.741369409093601328e-01,8.277088458681147731e-02
3.358121403883099765e-01,2.074349570636846718e-01
1.794098494120768827e-01,2.400633223017570664e-02
1.470292063359494694e+00,9.143703613755440607e-01
#n_clusters: 0, n_segment_len: 1
1.105751884238832083e+00,7.577979510224353010e-02
1.314461959650229661e-01,1.095193642497309557e-02
5.724227790000941951e-01,8.817269787051303098e-02
1.868119422930147322e-01,6.331706511169232776e-02
6.566430705202984663e-01,2.472285099641934325e-01
6.219611234175274062e-01,8.413565055839518358e-02
2.149850882511677719e-01,8.542862418642412081e-02
4.281942219979223418e-01,2.535283027069552553e-01
2.126158520937269925e-01,3.581166632545948469e-02
1.814071466610529759e+00,1.106497268535751033e+00
#n_clusters: 0, n_segment_len: 2
1.253218716703454971e+00,7.511667831640847504e-02
1.546806806204941154e-01,1.478410963413164490e-02
6.520788427356043471e-01,7.766242823071148327e-02
2.030291868906630992e-01,6.250265756858577881e-02
7.477120655078368650e-01,2.707009598103500836e-01
7.295263686124336955e-01,1.017218650123275642e-01
2.526213589941008197e-01,7.784541978730194489e-02
4.899905128652554120e-01,2.775613025662083122e-01
2.418275452561589600e-01,3.633363741965600635e-02
1.946779096287551747e+00,1.146845530159958715e+00
#n_clusters: 1, n_segment_len: 0
7.817949598583870952e-01,5.424695063156043801e-02
1.044687635582734891e-01,1.911320929590764120e-02
4.482777394674545834e-01,7.775230826352037827e-02
1.556201877208794881e-01,5.803920163669479965e-02
4.993996945742303351e-01,1.790725714748903075e-01
4.881717768678554559e-01,4.056343864979437830e-02
1.734334484833481016e-01,7.621827195847051539e-02
3.300203624655462797e-01,2.071127987536313664e-01
1.699097641851982365e-01,2.594143365540269031e-02
1.453849217173641906e+00,9.068631561474285174e-01
#n_clusters: 1, n_segment_len: 1
1.084501632881429201e+00,7.496076669803217185e-02
1.247381987184698476e-01,1.918384621167509851e-02
5.658877551582680576e-01,8.556640937487554333e-02
1.717666967318354776e-01,6.256577425155318561e-02
6.442407993995600268e-01,2.439880206766269211e-01
6.174797103316042035e-01,7.397166833278626119e-02
2.058639286274624447e-01,7.951599039935748625e-02
4.183099249386724172e-01,2.532528628350710909e-01
2.045384863717335799e-01,3.441975475772493520e-02
1.771615761190692639e+00,1.074714981193073848e+00
#n_clusters: 1, n_segment_len: 2
1.248165682450758984e+00,7.516450008269255634e-02
1.529230016210072485e-01,1.989407572032284369e-02
6.523769533442567159e-01,8.251834943267408184e-02
1.950966235337049381e-01,6.759183145644857837e-02
7.444514371179125067e-01,2.681384998161877031e-01
7.336050100346066527e-01,9.979224624048292636e-02
2.421619513494311648e-01,8.846208177026515518e-02
4.853547888423118684e-01,2.765502022953436057e-01
2.308642673456265670e-01,3.719327511968483629e-02
1.921246139141924658e+00,1.134818934819635583e+00
#n_clusters: 2, n_segment_len: 0
7.858552758555834572e-01,5.771515564507909146e-02
1.026129196038918084e-01,1.925906531419616444e-02
4.393571524203403467e-01,7.339904558723818473e-02
1.531282872599458722e-01,5.672061912825903524e-02
4.970140076121970507e-01,1.807792684248136494e-01
4.776720788353577274e-01,4.845770849251795215e-02
1.706889279949535543e-01,7.566695521702304639e-02
3.240345145722300368e-01,2.038262851690708088e-01
1.657365079899539295e-01,2.532122160478189610e-02
1.451358785209940105e+00,9.168792971841259742e-01
#n_clusters: 2, n_segment_len: 1
1.085315733068478838e+00,7.480576139044149697e-02
1.205223429304329991e-01,2.220317866624504227e-02
5.648786174714572894e-01,8.803738729025607779e-02
1.657961052116999068e-01,6.161730180247204647e-02
6.428292618878720388e-01,2.431930700437240911e-01
6.185271267573694276e-01,7.699415418618925366e-02
2.016955089684731306e-01,7.882476133739042823e-02
4.160618496794129539e-01,2.537338757308559289e-01
2.000379210089875959e-01,3.119709776328511569e-02
1.772615806612727551e+00,1.079721210534474674e+00
#n_clusters: 2, n_segment_len: 2
1.230139993867380932e+00,7.796629932209710179e-02
1.446669333068843211e-01,1.944772188791092996e-02
6.490022569627574844e-01,8.147542279075577210e-02
1.920433718035453041e-01,6.249835518091645392e-02
7.319636987241581183e-01,2.687958001770289762e-01
7.227286106928852982e-01,9.446268394818517489e-02
2.393317151003805932e-01,7.953447085149094320e-02
4.791071757030780365e-01,2.733787619033407057e-01
2.284617881026416997e-01,3.650488684672101997e-02
1.912690298979696557e+00,1.136574343859587888e+00
