#n_clusters: 0, n_segment_len: 0
4.770348054779516289e-01,2.429234765241991278e-01
2.982910051535711538e-01,1.549015791973198386e-01
1.132339001999813632e+00,6.058088584362569806e-02
5.829469509833788976e-01,7.661689142874546221e-02
2.605253561972276088e-01,6.278423411003913879e-02
6.540475914892988074e-01,7.851991467300850625e-02
3.297665820262316583e-01,6.410259825967393188e-02
1.783717226647990817e+00,1.056586518044019929e+00
2.077711327320108659e-01,7.047712875687978107e-02
7.004833495276485689e-01,2.430800709545158367e-01
#n_clusters: 0, n_segment_len: 1
5.792996781504067272e-01,2.846303560265763255e-01
3.347374733884292408e-01,1.957880245759213989e-01
1.447879817286212178e+00,6.688161817289361988e-02
7.272159283821379994e-01,1.130648037255804761e-01
3.070652853457041531e-01,8.453257729105324858e-02
8.919891340342172015e-01,1.229267847558844634e-01
4.154498692089772516e-01,5.634406522947577045e-02
2.106638212602673477e+00,1.205732579705347751e+00
2.490931558176436023e-01,1.058771243735856793e-01
8.653320800220799525e-01,3.072999522825196617e-01
#n_clusters: 0, n_segment_len: 2
7.024993032587816266e-01,2.673957648726535963e-01
5.278773207526968880e-01,1.951397312267510176e-01
1.490461808071813943e+00,7.597745788802263978e-02
7.997006657153669096e-01,7.206982193111378943e-02
4.039827211260546558e-01,8.083129105303489548e-02
9.296377230245367329e-01,1.043216585248749467e-01
6.283740768870402782e-01,4.105036337120010481e-02
2.115955645946677066e+00,1.078823233316647201e+00
4.128160041896939414e-01,1.435258543009758359e-01
9.359222290567669189e-01,2.819573024698536212e-01
#n_clusters: 0, n_segment_len: 3
7.387978647660853326e-01,2.533681241882891344e-01
3.501835736443471014e-01,1.205165574838396869e-01
1.557626595872710906e+00,1.056926379315014236e-01
8.729713236541192245e-01,6.146665006869896780e-02
5.190956851835331065e-01,7.045190768612660803e-02
9.583474592579506179e-01,1.104307917694225538e-01
2.778207481538548240e-01,1.069385387376447782e-01
2.604185395477500720e+00,1.550437091480474372e+00
3.430552943505289498e-01,7.240726104839186050e-02
1.004339909490214566e+00,2.678890420707664144e-01
#n_clusters: 1, n_segment_len: 0
3.681786527938917253e-01,2.125964708921653512e-01
2.102810088083166828e-01,1.192927074983892721e-01
8.634775906751865904e-01,5.767774827892677841e-02
4.870950861783612251e-01,8.933137094702177372e-02
1.952743934108964186e-01,2.660070276618769700e-02
5.476260031044580812e-01,4.693314647031011227e-02
2.217172440848512172e-01,6.712323467627467899e-02
1.545844078126449528e+00,9.487277934324546136e-01
1.388859891801267066e-01,2.494140431936259228e-02
5.492223040757282515e-01,1.932480734636148612e-01
#n_clusters: 1, n_segment_len: 1
4.386511019158971791e-01,2.642722875575294617e-01
2.304007297796932807e-01,8.373740149626698881e-02
1.121934966434495085e+00,6.998897732402277472e-02
5.846643212222947250e-01,8.650500483486396608e-02
2.285030083046852289e-01,3.867775391402267227e-02
6.402475877386903935e-01,9.144131355186659038e-02
1.954368040524357142e-01,6.555524585651104075e-02
1.826078966950313243e+00,1.089212889036107912e+00
1.397209144880533493e-01,9.357215322350993444e-03
6.729536406173813878e-01,2.499780698545849000e-01
#n_clusters: 1, n_segment_len: 2
5.768922921308841101e-01,2.922658623437839887e-01
3.214660270111466822e-01,1.052254540452013803e-01
1.415889670509328457e+00,7.768685737211983300e-02
7.501083118079208134e-01,6.827482265880582823e-02
3.105042826263459399e-01,4.057877532913580637e-02
8.392284931302547157e-01,1.068945197032335620e-01
2.849148276329581675e-01,8.627575134645640298e-02
2.007163268287517788e+00,1.099706808988313966e+00
2.383703815627329359e-01,1.631009998336355876e-02
8.502174081301876463e-01,2.879336925570503136e-01
#n_clusters: 1, n_segment_len: 3
7.121299195608490340e-01,2.364760924494697658e-01
3.522126883397434516e-01,1.162917970602081463e-01
1.500020405278225555e+00,1.133244372799623312e-01
8.389824637322679246e-01,6.518018783927830018e-02
4.456759832986263992e-01,3.190377565540047922e-02
9.078155722183165466e-01,1.072513306307646130e-01
2.725025503097134871e-01,1.081654115454056403e-01
2.498966441625546597e+00,1.514178504904566847e+00
3.817431872677066740e-01,1.028362996798674461e-01
9.637801481991929986e-01,2.626039299408094996e-01
#n_clusters: 2, n_segment_len: 0
3.358121403883099765e-01,2.074349570636846718e-01
1.741369409093601328e-01,8.277088458681147731e-02
7.845206511621054535e-01,5.730455236055089635e-02
4.522618287786976943e-01,7.800140727100217386e-02
1.794098494120768827e-01,2.400633223017570664e-02
4.889087204023376820e-01,3.793181193082736241e-02
1.589441405842531296e-01,5.974016443217366329e-02
1.470292063359494694e+00,9.143703613755440607e-01
1.080667525188147710e-01,1.666692441844942404e-02
5.037823571601788286e-01,1.797518805904838868e-01
#n_clusters: 2, n_segment_len: 1
4.281942219979223418e-01,2.535283027069552553e-01
2.149850882511677719e-01,8.542862418642412081e-02
1.105751884238832083e+00,7.577979510224353010e-02
5.724227790000941951e-01,8.817269787051303098e-02
2.126158520937269925e-01,3.581166632545948469e-02
6.219611234175274062e-01,8.413565055839518358e-02
1.868119422930147322e-01,6.331706511169232776e-02
1.814071466610529759e+00,1.106497268535751033e+00
