#n_clusters: 0, n_segment_len: 0, n_training_class: 0
8.086914968977865783e+02,1.117586973851723542e+01
4.603147602054070262e+02,6.579567538321109410e+00
5.487272212854846885e+02,4.251237623603306304e+01
4.714746285737184053e+02,1.280483453422079521e+01
7.077629042056660182e+02,2.921389718753466980e+01
4.707244572737077988e+02,4.821658705667772438e+00
5.882981095980029522e+02,1.193149291537317112e+02
5.387845943845001102e+02,5.446263877286969546e+01
7.066284836769980302e+02,7.883449463043871219e+01
4.513950439387946290e+02,3.116796988043030581e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 1
1.490725147891530469e+03,4.488946832474738358e+02
1.268260639231258580e+02,5.260281647048716280e+01
3.721561259683873573e+02,7.134723403217198268e+01
1.097292835318698678e+02,4.954088352604360068e+01
1.034102163841013635e+03,1.378185968012767546e+02
1.553317385325973987e+02,6.204102636164610374e+01
8.587737855490823904e+02,4.365119588852686547e+02
9.536613614087377755e+02,1.006799902115979535e+02
7.054523158282388522e+02,1.668392693181338302e+02
5.205621346707830526e+02,9.854041028586144080e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 2
1.393411792476029404e+03,3.758609797703345521e+02
1.736178146446555672e+02,2.934712375926602235e+01
3.511233473617087952e+02,6.832861960138386337e+01
1.591432685021514715e+02,3.077807719995337266e+01
9.343229873985902714e+02,1.887927690349931140e+02
1.749055199364296982e+02,3.768498386005060752e+01
8.356936663232254432e+02,4.208707524576151400e+02
9.036484960658799537e+02,1.002045798405057582e+02
7.505810828864409814e+02,1.653385430084076404e+02
4.977281399494406173e+02,1.009771339910323462e+02
#n_clusters: 0, n_segment_len: 0, n_training_class: 3
1.216278063134395779e+03,2.549178646257180390e+02
1.416904764821698564e+02,6.071638519096951114e+01
3.699663002093287218e+02,6.744848550677176036e+01
1.066884552701431090e+02,4.694391453379526524e+01
9.145853150123666637e+02,1.252538762238298773e+02
1.286522666209213526e+02,1.770990216965097375e+01
5.312827755329459478e+02,2.811846273815643258e+02
5.835884951910247764e+02,8.067420258153558166e+01
7.459039588714207412e+02,1.685329930168446992e+02
3.449699243742085173e+02,9.901796277053365714e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 4
9.241007882870201229e+02,6.161539931130516834e+01
2.159186434327263839e+02,4.383210867857661697e+01
4.078828902541904995e+02,5.718535877282005941e+01
1.854978733981170649e+02,3.498311682791987209e+01
5.664179383005794080e+02,6.757827617350110927e+01
2.353556550957948161e+02,3.798751203916606300e+01
5.454238759356144328e+02,1.922211355063783742e+02
4.705048067849750737e+02,8.607497563197011914e+01
5.837581948903450666e+02,1.034314380046726853e+02
3.868992760605384547e+02,4.348206796428293330e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 5
1.258648177711122116e+03,3.650670685698015632e+02
1.449501060531290193e+02,6.391370562736288008e+01
3.842958520802033604e+02,6.847475814814335138e+01
1.107545391697309753e+02,4.794861854369703025e+01
9.352437796966210044e+02,8.906125954054593308e+01
1.067529280210052320e+02,3.417578294135786621e+00
5.588492538831110323e+02,2.830893825148229439e+02
7.084243827041306076e+02,9.941881236281730594e+01
6.512347560074928197e+02,1.995336141003652415e+02
3.886067164975788728e+02,1.157852059956963444e+02
#n_clusters: 0, n_segment_len: 0, n_training_class: 6
8.335459401315517880e+02,7.652161245716553140e+01
1.623435592227100130e+02,6.201932284881543467e+01
3.958691309987657974e+02,6.740354457981759140e+01
1.179866682341975093e+02,4.879970280392478088e+01
7.054012800185488459e+02,1.858107256249974171e+01
1.440008109021583493e+02,6.934442856705004488e+00
3.399367527546397696e+02,1.183474557912570617e+02
4.511999180331052344e+02,6.983455708477994506e+01
4.609903216502340797e+02,8.993938951489107581e+01
3.145690249313655045e+02,5.825584267988207188e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 7
7.997460209125749770e+02,7.784939679617076536e+01
1.510500656815052309e+02,5.536752860387004915e+01
3.882850344264479645e+02,6.739456398209649990e+01
1.202081011240918116e+02,4.629897700802948179e+01
6.652490798837075090e+02,4.205084045485593691e+01
1.279854274421164462e+02,8.877833832094154332e+00
3.893046352268378882e+02,1.940650848139171671e+02
3.990890958228507088e+02,8.379732050765878171e+01
5.038705734287508449e+02,1.214090075523458978e+02
3.070955712054289393e+02,6.102763776298560572e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 8
1.334257590008943680e+03,4.531388201457648393e+02
1.850197531701046501e+02,6.949338790254147114e+01
4.128352278444917829e+02,6.385768942820480021e+01
1.406531470696929205e+02,5.367734214394958059e+01
9.142276471910157625e+02,2.865323040165698387e+01
2.177708908619659667e+02,6.983176985956853855e+01
7.996076008042880403e+02,4.131807226831462572e+02
9.104015426301859861e+02,1.007048632397916492e+02
2.609396242979578346e+02,3.593457186924365487e+01
5.355624078047497960e+02,6.836869579484532267e+01
#n_clusters: 0, n_segment_len: 0, n_training_class: 9
9.162153420028323580e+02,8.295862407508047909e+01
1.472159179408232319e+02,3.767202086992191568e+01
3.811538672168236985e+02,6.783939635664037837e+01
1.404622272855944516e+02,3.647533394805262219e+01
6.608381139270640006e+02,9.918716821273603657e+00
1.197607641963815297e+02,1.568650143638318895e+01
4.336347206481716512e+02,2.080704945256066196e+02
4.539334173415110172e+02,8.117124852169317251e+01
4.910311491370172803e+02,1.079950320116160327e+02
2.882109638485768528e+02,5.711590400936164258e+01
#n_clusters: 0, n_segment_len: 1, n_training_class: 0
9.337777268118456959e+02,3.782910158155129920e+01
4.848199450963540471e+02,4.679889844496750051e+00
5.691857181930148499e+02,4.831097638450752640e+01
