#n_clusters: 0, n_segment_len: 0
3.318929235523316312e-01,1.704224286999350968e-01
1.337656765793552527e+00,8.464953319772753337e-01
1.949733387347104829e-01,3.174882668727909557e-02
2.668288622827365564e-01,1.609203840608338099e-01
3.150270225346551989e-01,3.032628131434048080e-02
5.478540498996984365e-01,4.684652459764789695e-02
3.326149608968032023e-01,3.385115677000680862e-02
#n_clusters: 3, n_segment_len: 2
5.300069268211109463e-01,1.933177544726283614e-01
3.082342996947904368e-01,6.478774084418356671e-02
1.838572316594984102e-01,7.078933099689135866e-02
3.989068055212341424e-01,2.114748766422695769e-01
1.569006140259751492e+00,9.497646526745422424e-01
2.271797591077375778e-01,4.782383882482865028e-02
2.725592810890611339e-01,1.496720286969937252e-01
4.601819625191810315e-01,2.511407727538045656e-02
8.322243237295406937e-01,5.911869142380828113e-02
4.565882384669092686e-01,4.833198381491430468e-02
#n_clusters: 3, n_segment_len: 3
7.004833495276485689e-01,2.430800709545158367e-01
3.297665820262316583e-01,6.410259825967393188e-02
2.077711327320108659e-01,7.047712875687978107e-02
4.770348054779516289e-01,2.429234765241991278e-01
1.783717226647990817e+00,1.056586518044019929e+00
2.605253561972276088e-01,6.278423411003913879e-02
2.982910051535711538e-01,1.549015791973198386e-01
6.540475914892988074e-01,7.851991467300850625e-02
1.132339001999813632e+00,6.058088584362569806e-02
5.829469509833788976e-01,7.661689142874546221e-02
#n_clusters: 4, n_segment_len: 0
2.104664629794890940e-01,7.873878217574342697e-02
1.801918898850685125e-01,6.285864621442598110e-02
8.812246864097379728e-02,2.850985230445442567e-02
2.028405351287269065e-01,1.209019931659779390e-01
9.173345766911534804e-01,6.464462159095197835e-01
9.794282806056975321e-02,1.164086821366532715e-02
1.597346141611303283e-01,1.097782263179246792e-01
1.670983013547583662e-01,1.399340042254517726e-02
1.979781646039765197e-01,2.514442192929958880e-02
1.702129887677189257e-01,2.186672878723516789e-02
#n_clusters: 4, n_segment_len: 1
3.544499756518469935e-01,1.262275815860068595e-01
2.673179419575661964e-01,6.374830254382589378e-02
1.434535399222454655e-01,6.467320517752721265e-02
2.995186849820064001e-01,1.623063051705284920e-01
1.254632070994373239e+00,8.102371850084294502e-01
1.719676860153410702e-01,2.448941855344075047e-02
2.319448154555765196e-01,1.368845595183917629e-01
2.723294879046118666e-01,2.875652159571689959e-02
4.732700771253620653e-01,4.345518092843494301e-02
2.974223334885940928e-01,3.543518109925067328e-02
#n_clusters: 4, n_segment_len: 2
4.397529398770084197e-01,1.528594904700140145e-01
2.593703256083514930e-01,6.661028494032632252e-02
1.549217370178510855e-01,4.888593884724645039e-02
3.399636734639883695e-01,1.886399426436371762e-01
1.415065122252429974e+00,8.671579582738137004e-01
1.963453609255219334e-01,3.220300068286969380e-02
2.256603232097169620e-01,1.382611856701069508e-01
3.843977414885688115e-01,2.692460715438450836e-02
6.467891265886063223e-01,5.553899164192841603e-02
4.018651934341809784e-01,5.331570832719526726e-02
#n_clusters: 4, n_segment_len: 3
5.824146914069489034e-01,2.136677187040891546e-01
3.008334881059904209e-01,6.525162961470298839e-02
1.848295777326850187e-01,6.234593174071626637e-02
4.117325776657371206e-01,2.217741071175571843e-01
1.647301845143319898e+00,9.960471687064987867e-01
2.306299410907857728e-01,4.035735649133182640e-02
2.696932616978602315e-01,1.462190461549716380e-01
5.273372605810866531e-01,5.757247361380864875e-02
9.417741446290082141e-01,6.084224534942316714e-02
4.974981063462884379e-01,7.160284030707655956e-02
