#n_clusters: 0, n_segment_len: 0
2.750118518065671758e-01,1.437668659672696747e-01
2.265858018727077705e-01,1.409660353904730601e-01
3.448661454571720908e-01,3.435433799178650577e-02
2.323812735127961382e-01,2.520865090719238977e-02
2.390802826575310347e-01,3.032655742135082280e-02
1.157049116845287440e+00,7.635588787710654302e-01
1.506938944378274081e-01,5.966826065637848703e-02
1.555313173897764911e-01,1.926484384159523819e-02
3.005735310980162667e-01,1.029602290032774620e-01
#n_clusters: 1, n_segment_len: 1
3.551877453162992637e-01,6.020976203895136991e-02
3.625035177071962988e-01,1.742760326031085882e-01
2.918301477514942399e-01,1.733732454444755211e-01
6.099532718589538716e-01,5.016476446280513507e-02
3.452351335395126841e-01,3.041881097833260689e-02
3.636707776382023805e-01,3.214850284748695108e-02
1.406769565384530019e+00,8.669917557015146548e-01
2.039287139868981580e-01,9.605554879691123593e-02
2.254561367787511483e-01,4.166621868769470466e-02
4.249081966847658154e-01,1.459172162833911324e-01
#n_clusters: 1, n_segment_len: 2
3.492957579485698738e-01,6.237750739333131067e-02
4.335308089171424628e-01,2.162939218220358839e-01
2.921105989770528821e-01,1.686425880901254171e-01
9.138255680588842633e-01,6.098588983527219315e-02
4.769383558804392576e-01,3.330160102269394407e-02
4.862301824984487375e-01,3.467599471768401803e-02
1.642107803919061304e+00,9.782963409199449956e-01
2.137480109512172044e-01,8.312359450523801319e-02
2.659307226312414563e-01,5.404346106594553473e-02
5.745699113790625479e-01,2.051398715748442847e-01
#n_clusters: 1, n_segment_len: 3
4.215965968828787602e-01,5.749957274376213401e-02
5.086847619447407709e-01,2.300978656657536314e-01
3.259475154388609131e-01,2.128781410395916285e-01
1.145177731789511988e+00,6.095710120875516558e-02
6.756680257618438157e-01,8.519574132611895667e-02
6.064263934699286596e-01,6.285733178741180482e-02
1.802311122790410503e+00,1.050485785533466387e+00
2.716819275497583397e-01,9.875047154321843490e-02
3.002988843710448497e-01,7.598626015459743199e-02
7.140627042250746737e-01,2.400478955096948530e-01
#n_clusters: 1, n_segment_len: 4
4.867304791048420176e-01,5.283274940053714341e-02
6.076479698492590620e-01,2.752900466454686335e-01
3.765717225708795080e-01,2.274604286982451484e-01
1.423683485225383683e+00,6.826818015172041176e-02
8.796562336314615038e-01,9.552361891525373849e-02
7.358466288674906375e-01,9.746042133352914028e-02
2.125602488418585789e+00,1.179948761093540188e+00
3.090598958002869767e-01,1.187065105057990566e-01
3.570197434161631600e-01,9.376312910191758609e-02
8.727111375135478966e-01,2.894190064050398137e-01
#n_clusters: 1, n_segment_len: 5
8.049251688324039478e-01,3.179333327079464366e-02
7.891248603344729329e-01,2.700333641782878824e-01
6.578645279245346478e-01,2.417498610328514819e-01
1.667126661717409419e+00,6.843024714580273060e-02
1.056191059222735262e+00,1.137612528746539953e-01
8.710867808811283419e-01,1.048114552711782860e-01
2.269709145026922670e+00,1.165739290341159196e+00
4.918770528604244352e-01,2.214919697599027071e-01
4.598129882726089690e-01,9.541771857644523736e-02
1.041177195454971116e+00,3.053022281506417857e-01
#n_clusters: 1, n_segment_len: 6
7.448403894541153480e-01,8.390082440328072710e-03
7.838440650851739022e-01,2.542745547182554966e-01
5.685483157698478784e-01,2.197624987635234672e-01
1.552884267901176063e+00,1.044318565300725171e-01
9.528500642879285110e-01,1.120361275550953162e-01
8.954969843469219315e-01,5.461532638500370823e-02
2.613373185274261434e+00,1.543036526562186150e+00
4.599785022527394518e-01,1.547740385981146438e-01
5.446581747225071046e-01,7.256369887553167086e-02
1.019087087924487545e+00,2.573825010273251279e-01
#n_clusters: 2, n_segment_len: 0
2.595006907228892268e-01,6.341893414442541232e-02
2.568133973537105597e-01,1.333810360615982904e-01
2.200255877389772630e-01,1.396353433822297985e-01
2.880069694255207313e-01,3.273401641139284113e-02
2.027796137815602029e-01,2.429981404073455406e-02
2.139570381316833192e-01,2.414830925519262719e-02
1.079941344368253064e+00,7.271376589989269057e-01
1.417789729559950918e-01,6.012815674474931288e-02
1.409886446217925582e-01,1.812886955348903817e-02
2.705647422281479697e-01,9.419246759512055200e-02
#n_clusters: 2, n_segment_len: 1
3.334777977115652714e-01,6.160410702006718919e-02
3.445068979063053427e-01,1.740333764081373191e-01
2.789576245520917763e-01,1.625043814453765723e-01
5.776980997987104516e-01,4.877518492934571764e-02
3.292482898245511769e-01,3.060704877285440675e-02
3.509653832598556011e-01,3.739804112077861620e-02
1.372374072719746652e+00,8.578459017468996750e-01
1.876232237980568207e-01,8.969176168321613130e-02
2.057561149955992597e-01,3.584129803569240796e-02
4.062764846473974623e-01,1.420537243400316341e-01
#n_clusters: 2, n_segment_len: 2
3.258198414178291591e-01,6.396992976247506402e-02
4.088904763897399652e-01,2.083943564471294474e-01
2.888951604375350479e-01,1.546666797185108633e-01
8.375990495151253157e-01,5.831936421661525205e-02
4.673012222559473905e-01,2.723741369251108171e-02
4.616866158010871080e-01,4.565896311481709019e-02
1.576212100134655625e+00,9.430494446053505619e-01
2.029098849565682539e-01,7.222303712960465027e-02
2.391897806078203403e-01,4.719424787121672543e-02
5.352902053653003644e-01,1.902578053392813273e-01
#n_clusters: 2, n_segment_len: 3
3.398976648403267964e-01,6.333981316583048304e-02
4.742654018087480994e-01,2.411071303808251243e-01
3.018300050137192048e-01,1.595136496907839652e-01
1.102992442084367752e+00,5.927624276730515673e-02
6.526864069703796067e-01,6.256268355830890693e-02
5.881068779328844087e-01,7.106395590550314278e-02
1.775909368860907556e+00,1.043842063460524328e+00
2.115775846607001187e-01,7.572008329342430621e-02
2.749940267345293288e-01,6.418873699994828708e-02
6.884102156786886528e-01,2.328218655739946463e-01
#n_clusters: 2, n_segment_len: 4
4.442134305201503319e-01,5.514579306249595136e-02
6.000890411545956038e-01,2.768694892477212566e-01
3.530383115011658801e-01,2.129031544790349340e-01
1.444340745643383217e+00,6.550131094688400879e-02
9.264985887262109365e-01,1.040296084631888440e-01
7.488766272926792311e-01,1.109778003343834391e-01
2.103410277132333306e+00,1.181015899023635907e+00
2.786821023310783185e-01,1.074106312873722574e-01
3.207457467517403349e-01,9.053942807815147653e-02
8.879156012888178573e-01,2.921577007544733373e-01
#n_clusters: 2, n_segment_len: 5
6.823480814565376917e-01,3.777167447679857792e-02
7.484676653978736827e-01,2.787459349345024484e-01
5.648039482568392167e-01,2.095933845520845662e-01
1.603426867531862809e+00,6.733390690118556954e-02
1.001542468380659523e+00,1.147074423600449172e-01
8.541145929746732923e-01,9.855557978812459763e-02
2.216979152248778728e+00,1.145310933536318521e+00
4.390331128064626220e-01,1.651813133754670426e-01
4.201917502924452097e-01,8.992131957714717683e-02
9.996217740635284787e-01,2.974043160921306383e-01
#n_clusters: 2, n_segment_len: 6
7.285099230853542274e-01,4.997733666567805155e-03
7.787961919525521193e-01,2.511940102542426501e-01
5.614995014329909884e-01,2.149906667195035370e-01
1.551577235803470511e+00,1.061698779856065505e-01
9.558864754511535722e-01,1.106189874377103005e-01
8.861347698318079447e-01,5.950552630172845775e-02
2.600513681754903939e+00,1.535574428632204391e+00
4.666426021722809847e-01,1.405159870761629737e-01
5.300990859235167330e-01,7.080279378917975208e-02
1.019420328582641533e+00,2.561064774895323026e-01
#n_clusters: 3, n_segment_len: 0
2.303851103916736420e-01,6.372616457369834064e-02
2.422583632637478335e-01,1.340548793398763094e-01
1.944133727502339315e-01,1.324200315208398093e-01
2.700495379561748122e-01,3.260061421026017731e-02
2.015653728607567918e-01,1.841544285343509058e-02
2.044637310895887072e-01,2.847373890581129247e-02
1.055657393977155856e+00,7.173494956435936265e-01
1.221292078477121817e-01,4.901229062257040497e-02
1.242958567564889927e-01,1.513828952351125093e-02
2.571443844979284243e-01,9.218432980914292862e-02
#n_clusters: 3, n_segment_len: 1
3.217123618655405859e-01,6.262563003938048656e-02
3.318929235523316312e-01,1.704224286999350968e-01
2.668288622827365564e-01,1.609203840608338099e-01
5.478540498996984365e-01,4.684652459764789695e-02
3.150270225346551989e-01,3.032628131434048080e-02
3.326149608968032023e-01,3.385115677000680862e-02
1.337656765793552527e+00,8.464953319772753337e-01
1.779548882345832472e-01,8.663501549867148877e-02
1.949733387347104829e-01,3.174882668727909557e-02
3.892110738268750314e-01,1.380486879256498933e-01
#n_clusters: 3, n_segment_len: 2
3.082342996947904368e-01,6.478774084418356671e-02
3.989068055212341424e-01,2.114748766422695769e-01
2.725592810890611339e-01,1.496720286969937252e-01
8.322243237295406937e-01,5.911869142380828113e-02
4.601819625191810315e-01,2.511407727538045656e-02
4.565882384669092686e-01,4.833198381491430468e-02
1.569006140259751492e+00,9.497646526745422424e-01
1.838572316594984102e-01,7.078933099689135866e-02
2.271797591077375778e-01,4.782383882482865028e-02
5.300069268211109463e-01,1.933177544726283614e-01
#n_clusters: 3, n_segment_len: 3
3.297665820262316583e-01,6.410259825967393188e-02
4.770348054779516289e-01,2.429234765241991278e-01
2.982910051535711538e-01,1.549015791973198386e-01
1.132339001999813632e+00,6.058088584362569806e-02
6.540475914892988074e-01,7.851991467300850625e-02
5.829469509833788976e-01,7.661689142874546221e-02
1.783717226647990817e+00,1.056586518044019929e+00
2.077711327320108659e-01,7.047712875687978107e-02
2.605253561972276088e-01,6.278423411003913879e-02
7.004833495276485689e-01,2.430800709545158367e-01
#n_clusters: 3, n_segment_len: 4
4.154498692089772516e-01,5.634406522947577045e-02
5.792996781504067272e-01,2.846303560265763255e-01
3.347374733884292408e-01,1.957880245759213989e-01
1.447879817286212178e+00,6.688161817289361988e-02
8.919891340342172015e-01,1.229267847558844634e-01
7.272159283821379994e-01,1.130648037255804761e-01
2.106638212602673477e+00,1.205732579705347751e+00
2.490931558176436023e-01,1.058771243735856793e-01
3.070652853457041531e-01,8.453257729105324858e-02
8.653320800220799525e-01,3.072999522825196617e-01
#n_clusters: 3, n_segment_len: 5
6.283740768870402782e-01,4.105036337120010481e-02
7.024993032587816266e-01,2.673957648726535963e-01
5.278773207526968880e-01,1.951397312267510176e-01
1.490461808071813943e+00,7.597745788802263978e-02
9.296377230245367329e-01,1.043216585248749467e-01
7.997006657153669096e-01,7.206982193111378943e-02
